university_name,state
Australian Catholic University - NSW,NSW
Australian Catholic University - VIC,VIC
Australian National University,ACT
Bond University,QLD
Charles Darwin University,NT
Charles Sturt University,NSW
CQUniversity,QLD
Curtin University,WA
Deakin University,VIC
Edith Cowan University,WA
Federation University Australia,VIC
Flinders University,SA
Griffith University,QLD
James Cook University,QLD
La Trobe University,VIC
Macquarie University,NSW
Monash University,VIC
Murdoch University,WA
Queensland University of Technology,QLD
RMIT University,VIC
Southern Cross University,NSW
Swinburne University of Technology,VIC
Torrens University Australia,SA
University of Adelaide,SA
University of Canberra,ACT
University of Divinity,VIC
University of Melbourne,VIC
University of New England,NSW
University of New South Wales,NSW
University of Newcastle,NSW
University of Notre Dame Australia,WA
University of Queensland,QLD
University of South Australia,SA
University of Southern Queensland,QLD
University of Sydney,NSW
University of Tasmania,TAS
University of Technology Sydney,NSW
University of the Sunshine Coast,QLD
University of Western Australia,WA
University of Wollongong,NSW
Victoria University,VIC
Western Sydney University,NSW
